Year, Month,  Highest, meanHighHighWater, meanHighWater, meanSeaLevel, MTL, meanLowWater, meanLowLowWater, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1942,3,0.461,,-0.082,-0.204,-0.210,-0.338,,,,0.256,,,10.180,3.880,-0.728,0
1942,4,0.308,,-0.051,-0.182,-0.189,-0.326,,,,0.274,,,10.070,3.860,-0.576,0
1942,5,0.491,,0.025,-0.115,-0.122,-0.268,,,,0.293,,,10.220,4.130,-0.545,0
1942,6,0.308,,0.061,-0.079,-0.085,-0.231,,,,0.293,,,10.260,4.050,-0.576,0
1942,7,0.430,,0.028,-0.115,-0.125,-0.274,,,,0.302,,,10.120,4.040,-0.515,0
1942,8,0.644,,0.058,-0.082,-0.085,-0.228,,,,0.287,,,10.130,4.140,-0.545,0
1942,9,0.583,,0.089,-0.045,-0.051,-0.195,,,,0.283,,,10.240,4.190,-0.698,0
1942,10,0.430,,0.101,-0.024,-0.027,-0.158,,,,0.259,,,10.210,4.140,-0.484,0
1942,11,0.400,,-0.054,-0.189,-0.192,-0.326,,,,0.271,,,9.970,3.970,-0.880,0
1942,12,0.491,,-0.164,-0.289,-0.295,-0.426,,,,0.262,,,10.190,4.170,-0.972,0
1943,1,0.125,,-0.152,-0.286,-0.289,-0.426,,,,0.274,,,10.240,4.230,-1.033,0
1943,2,0.308,,-0.164,-0.301,-0.307,-0.448,,,,0.283,,,10.050,4.150,-1.124,0
1943,3,0.186,,-0.149,-0.280,-0.286,-0.423,,,,0.274,,,10.450,4.280,-0.728,0
1943,4,0.339,,-0.097,-0.234,-0.240,-0.384,,,,0.287,,,10.300,4.150,-0.941,0
1943,5,0.308,,-0.045,-0.176,-0.186,-0.329,,,,0.283,,,10.350,4.030,-0.850,0
1943,6,0.308,,0.034,-0.109,-0.118,-0.271,,,,0.305,,,10.530,4.180,-0.637,0
1943,7,0.339,,0.031,-0.106,-0.112,-0.256,,,,0.287,,,10.410,4.080,-0.454,0
1943,8,0.400,,0.055,-0.079,-0.088,-0.228,,,,0.283,,,10.480,4.210,-0.484,0
1943,9,0.308,,0.006,-0.122,-0.125,-0.259,,,,0.265,,,10.350,4.270,-0.637,0
1943,10,0.491,,0.016,-0.122,-0.128,-0.271,,,,0.287,,,10.330,4.090,-1.002,0
1943,11,0.400,,-0.097,-0.219,-0.225,-0.353,,,,0.256,,,10.290,4.170,-0.759,0
1943,12,0.095,,-0.243,-0.371,-0.375,-0.509,,,,0.265,,,10.480,4.340,-1.002,0
1944,1,0.217,,-0.192,-0.317,-0.326,-0.460,,,,0.268,,,10.300,4.060,-0.728,0
1944,2,0.095,,-0.192,-0.323,-0.326,-0.463,,,,0.271,,,10.440,4.210,-0.850,0
1944,3,0.278,,-0.103,-0.228,-0.234,-0.362,,,,0.259,,,10.260,3.960,-0.789,0
1944,4,0.217,,-0.067,-0.201,-0.204,-0.344,,,,0.277,,,10.190,4.010,-0.698,0
1944,5,0.369,,0.013,-0.118,-0.125,-0.262,,,,0.274,,,10.550,4.120,-0.484,0
1944,6,0.491,,0.052,-0.088,-0.094,-0.243,,,,0.296,,,10.390,4.150,-0.667,0
1944,7,0.369,,0.055,-0.079,-0.088,-0.228,,,,0.283,,,10.410,4.160,-0.484,0
1944,8,0.461,,0.028,-0.109,-0.112,-0.250,,,,0.277,,,10.320,4.260,-0.576,0
1944,9,0.247,,0.034,-0.112,-0.106,-0.250,,,,0.283,,,10.190,4.250,-0.637,0
1944,10,0.369,,-0.006,-0.137,-0.143,-0.280,,,,0.274,,,10.360,4.200,-0.820,0
1944,11,0.339,,-0.012,-0.137,-0.143,-0.274,,,,0.262,,,10.390,4.130,-0.820,0
1944,12,0.369,,-0.240,-0.368,-0.368,-0.496,,,,0.256,,,10.330,4.160,-1.063,0
1945,1,0.278,,-0.207,-0.329,-0.332,-0.457,,,,0.250,,,10.310,4.120,-1.185,0
1945,2,0.217,,-0.186,-0.307,-0.314,-0.445,,,,0.259,,,10.540,4.120,-1.124,0
1945,3,0.217,,-0.042,-0.173,-0.176,-0.311,,,,0.268,,,10.490,4.030,-0.637,0
1945,4,0.369,,-0.027,-0.161,-0.167,-0.304,,,,0.277,,,10.530,4.020,-0.637,0
1945,5,0.430,,0.055,-0.073,-0.079,-0.213,,,,0.268,,,10.620,4.030,-0.698,0
1945,6,0.400,,0.055,-0.079,-0.088,-0.228,,,,0.283,,,10.520,4.180,-0.393,0
1945,7,0.369,,0.101,-0.039,-0.045,-0.189,,,,0.290,,,10.380,4.260,-0.454,0
1945,8,0.308,,0.067,-0.067,-0.076,-0.219,,,,0.287,,,10.370,4.430,-0.454,0
1945,9,0.796,,0.135,0.006,-0.003,-0.137,,,,0.271,,,10.650,4.150,-0.454,0
1945,10,0.491,,0.052,-0.079,-0.082,-0.213,,,,0.265,,,10.350,4.350,-0.606,0
1945,11,0.369,,0.043,-0.079,-0.088,-0.222,,,,0.265,,,10.350,4.560,-0.728,0
1946,10,0.552,,0.083,-0.045,-0.051,-0.182,,,,0.265,,,10.430,4.010,-0.637,0
1946,11,0.491,,-0.009,-0.131,-0.137,-0.268,,,,0.259,,,10.180,4.070,-0.667,0
1946,12,0.247,,-0.143,-0.277,-0.277,-0.408,,,,0.265,,,10.210,4.030,-1.246,0
1947,1,0.369,,-0.115,-0.243,-0.243,-0.371,,,,0.256,,,10.180,4.180,-1.033,0
1947,2,0.186,,-0.256,-0.381,-0.384,-0.515,,,,0.259,,,10.470,4.350,-1.002,0
1947,3,0.247,,-0.155,-0.283,-0.286,-0.417,,,,0.262,,,10.060,3.700,-0.972,0
1947,4,0.369,,-0.018,-0.146,-0.152,-0.283,,,,0.265,,,10.320,3.970,-0.698,0
1947,5,0.400,,0.003,-0.125,-0.131,-0.265,,,,0.268,,,10.570,4.320,-0.606,0
1947,6,0.491,,0.113,-0.015,-0.024,-0.161,,,,0.274,,,10.530,4.360,-0.515,0
1947,7,0.308,,0.049,-0.082,-0.085,-0.222,,,,0.271,,,10.510,4.340,-0.484,0
1947,8,0.278,,0.092,-0.039,-0.045,-0.182,,,,0.274,,,10.520,4.190,-0.423,0
1947,9,0.552,,0.095,-0.033,-0.039,-0.173,,,,0.268,,,10.420,4.270,-0.637,0
1947,10,0.278,,0.031,-0.097,-0.103,-0.240,,,,0.271,,,10.490,4.200,-0.637,0
1947,11,0.704,,0.098,-0.024,-0.030,-0.158,,,,0.256,,,10.100,4.040,-0.667,0
1947,12,0.186,,-0.189,-0.314,-0.317,-0.445,,,,0.256,,,10.400,4.070,-0.820,0
1948,1,0.308,,-0.231,-0.350,-0.356,-0.478,,,,0.247,,,10.360,4.280,-0.850,0
1948,2,0.156,,-0.118,-0.246,-0.246,-0.378,,,,0.259,,,10.470,4.250,-0.789,0
1948,3,0.369,,-0.024,-0.155,-0.158,-0.292,,,,0.268,,,10.360,4.190,-0.820,0
1948,4,0.369,,-0.030,-0.152,-0.161,-0.295,,,,0.265,,,10.340,4.320,-0.728,0
1948,5,0.552,,0.058,-0.076,-0.079,-0.216,,,,0.274,,,10.330,4.010,-0.545,0
1948,6,0.308,,0.074,-0.058,-0.061,-0.195,,,,0.268,,,10.270,4.090,-0.484,0
1948,7,0.308,,0.074,-0.058,-0.064,-0.198,,,,0.271,,,10.480,4.370,-0.454,0
1948,8,0.339,,0.028,-0.100,-0.106,-0.240,,,,0.268,,,10.460,4.400,-0.484,0
1948,9,0.369,,0.083,-0.042,-0.045,-0.173,,,,0.256,,,10.360,4.350,-0.515,0
1948,10,0.552,,0.061,-0.064,-0.070,-0.204,,,,0.265,,,10.440,4.460,-0.637,0
1948,11,0.369,,0.037,-0.091,-0.097,-0.231,,,,0.268,,,10.390,4.300,-0.637,0
1948,12,0.400,,-0.018,-0.146,-0.149,-0.283,,,,0.265,,,10.390,4.320,-1.155,0
1949,1,0.400,,-0.054,-0.176,-0.179,-0.307,,,,0.253,,,10.400,4.360,-0.667,0
1949,2,0.400,,-0.054,-0.179,-0.182,-0.311,,,,0.256,,,10.310,4.200,-0.698,0
1949,3,0.400,,-0.170,-0.292,-0.301,-0.429,,,,0.259,,,10.600,4.310,-0.972,0
1949,4,0.491,,-0.039,-0.167,-0.173,-0.307,,,,0.268,,,10.490,4.270,-0.789,0
1949,5,0.522,,0.028,-0.091,-0.103,-0.234,,,,0.262,,,10.240,4.090,-0.515,0
1949,6,0.400,,0.074,-0.048,-0.058,-0.192,,,,0.265,,,10.420,4.160,-0.454,0
1949,7,0.400,,0.058,-0.076,-0.076,-0.210,,,,0.268,,,10.640,4.240,-0.454,0
1949,8,0.461,,0.080,-0.051,-0.058,-0.192,,,,0.271,,,10.520,4.320,-0.454,0
1949,9,0.430,,0.016,-0.109,-0.112,-0.243,,,,0.259,,,10.310,4.400,-0.545,0
1949,10,0.430,,0.061,-0.061,-0.070,-0.198,,,,0.259,,,10.400,4.190,-0.515,0
1949,11,0.400,,-0.082,-0.204,-0.210,-0.338,,,,0.256,,,10.400,4.030,-0.880,0
1949,12,0.217,,-0.210,-0.332,-0.332,-0.457,,,,0.247,,,10.530,4.090,-0.911,0
1950,1,0.186,,-0.167,-0.286,-0.289,-0.414,,,,0.247,,,10.200,4.170,-0.789,0
